date,gross,net,turnover,cost,n_names,mega_w,weights,ic
2026-06-01,0.054679945192811184,0.05205216741503341,1.222222222222222,0.0026277777777777775,4,0.38888888888888884,"{""agent_0"": 0.333, ""agent_1"": 0.333, ""agent_2"": 0.333}",0.29399257331838025
2026-06-02,-0.03663510101497213,-0.03917833178324104,1.1828980317529791,0.002543230768268905,5,0.5555555555555556,"{""agent_0"": 0.333, ""agent_1"": 0.333, ""agent_2"": 0.333}",-0.15045606004574666
2026-06-04,-0.04030054629118519,-0.040824281171020674,0.24359761852813366,0.0005237348798354873,4,0.6666666666666666,"{""agent_0"": 0.333, ""agent_1"": 0.333, ""agent_2"": 0.333}",-0.22722663598240586
2026-06-05,-0.12651483754398926,-0.12818705976621148,0.7777777777777777,0.001672222222222222,5,0.611111111111111,"{""agent_0"": 0.333, ""agent_1"": 0.333, ""agent_2"": 0.333}",-0.3674006751003198
2026-06-08,0.026455534960149452,0.024432614014173813,0.9408934632444841,0.002022920945975641,4,0.5555555555555556,"{""agent_0"": 0.333, ""agent_1"": 0.333, ""agent_2"": 0.333}",0.10088349506955942
2026-06-09,0.02218724566538086,0.019893912332047525,1.0666666666666667,0.0022933333333333334,5,0.4666666666666666,"{""agent_0"": 0.333, ""agent_1"": 0.333, ""agent_2"": 0.333}",0.4512992728486787
2026-06-10,-0.03557410616525537,-0.03626352341645148,0.3206591866028427,0.000689417251196112,4,0.611111111111111,"{""agent_0"": 0.333, ""agent_1"": 0.333, ""agent_2"": 0.333}",0.03613737136820039
2026-06-11,0.12778994630545126,0.12692760559384192,0.40108870307411015,0.0008623407116093367,3,0.6666666666666666,"{""agent_0"": 0.333, ""agent_1"": 0.333, ""agent_2"": 0.333}",0.3456064354489122
2026-06-12,0.036288900769992125,0.034412291083361767,0.8728417147117953,0.0018766096866303598,3,0.6111111111111112,"{""agent_0"": 0.333, ""agent_1"": 0.333, ""agent_2"": 0.333}",0.04485621226469194
2026-06-15,0.027336552891364135,0.025199761512467785,0.9938564553006278,0.00213679137889635,4,0.5555555555555555,"{""agent_0"": 0.333, ""agent_1"": 0.333, ""agent_2"": 0.333}",0.15433669021835583
2026-06-16,-0.0002679443672278189,-0.0031346110338944864,1.3333333333333335,0.0028666666666666675,5,0.3333333333333333,"{""agent_0"": 0.333, ""agent_1"": 0.333, ""agent_2"": 0.333}",0.030155152627702145
2026-06-17,0.012075906333761694,0.011583823172367025,0.22887588902077627,0.0004920831613946692,5,0.2222222222222222,"{""agent_0"": 0.333, ""agent_1"": 0.333, ""agent_2"": 0.333}",0.33269768176708847
2026-06-18,-0.02028628325948771,-0.021276832407145292,0.46072053379422406,0.0009905491476575818,6,0.26111111111111107,"{""agent_0"": 0.333, ""agent_1"": 0.333, ""agent_2"": 0.333}",-0.20852550886047025
2026-06-19,-0.05544404457309371,-0.05786744185776208,1.1271615277527318,0.002423397284668373,4,0.5,"{""agent_0"": 0.333, ""agent_1"": 0.333, ""agent_2"": 0.333}",-0.5115696634310868
2026-06-22,0.011893621868944014,0.010577114350962799,0.6123290781307972,0.001316507517981214,4,0.611111111111111,"{""agent_0"": 0.333, ""agent_1"": 0.333, ""agent_2"": 0.333}",0.2868403852350906
2026-06-23,-0.09247452340514868,-0.09407968220018675,0.7465854860642203,0.0016051587950380735,4,0.7777777777777778,"{""agent_0"": 0.333, ""agent_1"": 0.333, ""agent_2"": 0.333}",-0.12346935217468466
2026-06-24,0.09861276540285675,0.09727498762507898,0.6222222222222222,0.0013377777777777776,5,0.6888888888888889,"{""agent_0"": 0.333, ""agent_1"": 0.333, ""agent_2"": 0.333}",0.35462626223371424
2026-06-25,-0.01723563207938651,-0.018082170950056813,0.3937390096140954,0.0008465388706703053,4,0.7777777777777777,"{""agent_0"": 0.333, ""agent_1"": 0.333, ""agent_2"": 0.333}",0.02559730471914194
2026-06-26,-0.07094336057072766,-0.07166904496605184,0.3375276257321793,0.0007256843953241858,3,0.7777777777777777,"{""agent_0"": 0.333, ""agent_1"": 0.333, ""agent_2"": 0.333}",-0.4823110823508305
2026-06-29,0.004301324634650088,0.002867991301316755,0.6666666666666666,0.0014333333333333333,3,0.6666666666666666,"{""agent_0"": 0.333, ""agent_1"": 0.333, ""agent_2"": 0.333}",-0.35756809205283
2026-06-30,0.0077204289234055635,0.005092651145627785,1.2222222222222223,0.0026277777777777784,5,0.38888888888888884,"{""agent_0"": 0.333, ""agent_1"": 0.333, ""agent_2"": 0.333}",0.34777358083789367
