date,gross,net,turnover,cost,n_names,mega_w,weights,ic
2026-06-01,0.051046829243607206,0.04885977358893954,1.0172351882175197,0.0021870556546676675,6,0.5555555555555555,"{""agent_0"": 0.333, ""agent_1"": 0.333, ""agent_2"": 0.333}",0.22035501289642428
2026-06-02,-0.017613136499276837,-0.019675314447326713,0.9591525339766864,0.002062177948049876,4,0.5555555555555556,"{""agent_0"": 0.333, ""agent_1"": 0.333, ""agent_2"": 0.333}",-0.1197050426571638
2026-06-04,-0.04141559911060292,-0.04266134505648401,0.5794167190144606,0.0012457459458810902,5,0.5,"{""agent_0"": 0.333, ""agent_1"": 0.333, ""agent_2"": 0.333}",-0.31426536420731654
2026-06-05,-0.12023037674574077,-0.12240480161573142,1.0113604046468112,0.002174424869990644,3,0.6666666666666666,"{""agent_0"": 0.333, ""agent_1"": 0.333, ""agent_2"": 0.333}",-0.21317380876267883
2026-06-08,0.026455534960149452,0.024542454285869705,0.889804964781278,0.0019130806742797479,4,0.5555555555555556,"{""agent_0"": 0.333, ""agent_1"": 0.333, ""agent_2"": 0.333}",0.08582625699947592
2026-06-09,0.022460162383556477,0.020310162383556478,1.0,0.00215,4,0.49999999999999994,"{""agent_0"": 0.333, ""agent_1"": 0.333, ""agent_2"": 0.333}",0.3990612007813481
2026-06-10,-0.03008324702232341,-0.030640242752368412,0.2590677814162791,0.0005569957300450001,5,0.5222222222222221,"{""agent_0"": 0.333, ""agent_1"": 0.333, ""agent_2"": 0.333}",-0.011992192442685989
2026-06-11,0.11851960801314274,0.11793257024347309,0.27304082310216177,0.0005870377696696477,4,0.5555555555555556,"{""agent_0"": 0.333, ""agent_1"": 0.333, ""agent_2"": 0.333}",0.2266114329547566
2026-06-12,0.04761946948464546,0.04599817185979857,0.7540919185334372,0.0016212976248468898,7,0.5777777777777777,"{""agent_0"": 0.333, ""agent_1"": 0.333, ""agent_2"": 0.333}",0.2659551037021923
2026-06-15,0.02551575273495599,0.023930520015206822,0.7373175440693809,0.001585232719749169,4,0.611111111111111,"{""agent_0"": 0.333, ""agent_1"": 0.333, ""agent_2"": 0.333}",0.14680807118331407
2026-06-16,-0.009898199693858398,-0.012287088582747286,1.111111111111111,0.0023888888888888883,5,0.4444444444444444,"{""agent_0"": 0.333, ""agent_1"": 0.333, ""agent_2"": 0.333}",-0.0006853443779023215
2026-06-17,0.005910344729743908,0.0049530406753482215,0.4452576997189239,0.0009573040543956867,4,0.2222222222222222,"{""agent_0"": 0.333, ""agent_1"": 0.333, ""agent_2"": 0.333}",0.21117776393292104
2026-06-18,8.357152564947463e-05,-0.0011108729187949695,0.5555555555555554,0.0011944444444444442,6,0.38888888888888884,"{""agent_0"": 0.333, ""agent_1"": 0.333, ""agent_2"": 0.333}",-0.15631454175647463
2026-06-19,-0.05808299860635922,-0.06021272623254921,0.990570988925577,0.0021297276261899906,4,0.5555555555555556,"{""agent_0"": 0.333, ""agent_1"": 0.333, ""agent_2"": 0.333}",-0.5115696634310868
2026-06-22,0.03209044019979069,0.030649418344844352,0.670242723230855,0.0014410218549463381,3,0.8888888888888888,"{""agent_0"": 0.333, ""agent_1"": 0.333, ""agent_2"": 0.333}",0.37294736482929586
2026-06-23,-0.09678261009242835,-0.09809649898131724,0.6111111111111112,0.0013138888888888892,5,0.611111111111111,"{""agent_0"": 0.333, ""agent_1"": 0.333, ""agent_2"": 0.333}",-0.37381377014201184
2026-06-24,0.07790621993892173,0.07634462959099406,0.7263210920593826,0.0015615903479276726,5,0.4444444444444444,"{""agent_0"": 0.333, ""agent_1"": 0.333, ""agent_2"": 0.333}",0.280005924959852
2026-06-25,-0.018723308050397847,-0.020663089760286368,0.9022240511109396,0.0019397817098885206,4,0.7222222222222221,"{""agent_0"": 0.333, ""agent_1"": 0.333, ""agent_2"": 0.333}",0.09373130698626976
2026-06-26,-0.06301757611955563,-0.06418525893936432,0.5431082882831095,0.0011676828198086855,4,0.7777777777777777,"{""agent_0"": 0.333, ""agent_1"": 0.333, ""agent_2"": 0.333}",-0.3132903417445633
2026-06-29,0.010542292522537699,0.009561707920116411,0.45608586159129627,0.0009805846024212872,4,0.7777777777777777,"{""agent_0"": 0.333, ""agent_1"": 0.333, ""agent_2"": 0.333}",-0.16299460210865385
2026-06-30,0.003413122282260021,0.0005464556155933544,1.3333333333333333,0.0028666666666666667,5,0.3333333333333333,"{""agent_0"": 0.333, ""agent_1"": 0.333, ""agent_2"": 0.333}",0.3094802328503627
