date,gross,net,turnover,cost,n_names,mega_w,weights,ic
2026-06-01,0.05080941567453519,0.04891545615590764,0.8809114040128132,0.0018939595186275482,5,0.5595442979935934,"{""agent_1"": 0.357, ""agent_2"": 0.643}",0.1538426973361717
2026-06-02,-0.012928490474761524,-0.014753530533619155,0.8488558413291307,0.0018250400588576312,3,0.6666666666666667,"{""agent_1"": 0.326, ""agent_2"": 0.674}",-0.00726243436666441
2026-06-04,-0.04710083914998428,-0.04859610382295168,0.6954719409150715,0.0014952646729674036,5,0.5153779536477641,"{""agent_0"": 0.086, ""agent_1"": 0.503, ""agent_2"": 0.411}",-0.326945646078277
2026-06-05,-0.12023037674574079,-0.12233240400010513,0.977687095053184,0.0021020272543643454,3,0.6666666666666667,"{""agent_0"": 0.098, ""agent_1"": 0.524, ""agent_2"": 0.378}",-0.21317380876267883
2026-06-08,0.026521919607237477,0.024615680426185203,0.8866228749080349,0.0019062391810522753,4,0.557146600492177,"{""agent_0"": 0.171, ""agent_1"": 0.5, ""agent_2"": 0.329}",0.08582625699947592
2026-06-09,0.02091424059476556,0.018792436389948354,0.9868856766591667,0.002121804204817208,4,0.5065571616704166,"{""agent_1"": 0.52, ""agent_2"": 0.48}",0.3990612007813481
2026-06-10,-0.027622112390471323,-0.02808502807793837,0.21530962207769655,0.0004629156874670478,4,0.5527990560617724,"{""agent_1"": 0.683, ""agent_2"": 0.317}",0.03839595707871291
2026-06-11,0.12778994630545126,0.12703865458072097,0.34943801150246695,0.0007512917247303038,3,0.6666666666666667,"{""agent_1"": 0.76, ""agent_2"": 0.24}",0.34987845566459713
2026-06-12,0.04761946948464546,0.04628169170686768,0.6222222222222223,0.0013377777777777782,7,0.5777777777777777,"{""agent_0"": 0.333, ""agent_1"": 0.333, ""agent_2"": 0.333}",0.2659551037021923
2026-06-15,0.02660201847317449,0.025013643225699333,0.738779184872167,0.001588375247475159,4,0.5779673878116023,"{""agent_0"": 0.076, ""agent_1"": 0.532, ""agent_2"": 0.391}",0.14680807118331407
2026-06-16,-0.008575694245556452,-0.011102928092784984,1.175457603362108,0.0025272338472285324,5,0.41227119831894604,"{""agent_0"": 0.382, ""agent_1"": 0.487, ""agent_2"": 0.132}",-0.0006853443779023215
2026-06-17,0.006130030139599411,0.00513955522728375,0.4606860057282146,0.0009904749123156617,4,0.23051273866781957,"{""agent_0"": 0.308, ""agent_1"": 0.517, ""agent_2"": 0.175}",0.21117776393292104
2026-06-18,-0.02031519771985492,-0.02139019771985492,0.5,0.0010750000000000002,6,0.25,"{""agent_0"": 0.348, ""agent_1"": 0.652}",-0.20852550886047025
2026-06-19,-0.062454797266016965,-0.064873810110856,1.1251222534134997,0.0024190128448390246,4,0.5212267272156382,"{""agent_0"": 0.436, ""agent_1"": 0.564}",-0.5160868348521118
2026-06-22,0.033270533342608336,0.031588332843482204,0.7824188368028526,0.0016822004991261335,3,0.9121882519128894,"{""agent_0"": 0.263, ""agent_1"": 0.345, ""agent_2"": 0.391}",0.37294736482929586
2026-06-23,-0.09712815014569619,-0.09845452229899668,0.6169172806048784,0.0013263721533004883,5,0.6169172806048784,"{""agent_0"": 0.298, ""agent_1"": 0.311, ""agent_2"": 0.391}",-0.37381377014201184
2026-06-24,0.08476711087645507,0.08345935869902314,0.6082568267125249,0.0013077521774319287,5,0.5244009435283145,"{""agent_0"": 0.267, ""agent_1"": 0.313, ""agent_2"": 0.42}",0.30323115176506
2026-06-25,-0.01528950750275829,-0.0168365234407759,0.719542296752377,0.0015470159380176105,4,0.8101705274651825,"{""agent_1"": 0.38, ""agent_2"": 0.62}",0.10201278792481569
2026-06-26,-0.06259711279298981,-0.06339561188474328,0.3713949263969648,0.0007984990917534744,4,0.8349860522930638,"{""agent_0"": 0.154, ""agent_1"": 0.341, ""agent_2"": 0.505}",-0.30415620901568663
2026-06-29,-0.01664038252593647,-0.01737841092794134,0.3432690241883105,0.0007380284020048676,2,1.0,"{""agent_2"": 1.0}",-0.33996844871069326
2026-06-30,0.003413122282260021,0.0005464556155933549,1.333333333333333,0.0028666666666666662,5,0.3333333333333333,"{""agent_0"": 0.333, ""agent_1"": 0.333, ""agent_2"": 0.333}",0.3094802328503627
