date,gross,net,turnover,cost,n_names,mega_w,weights,ic
2026-06-01,0.0608591799870183,0.05918695776479608,0.7777777777777776,0.0016722222222222216,5,0.611111111111111,"{""agent_0"": 0.333, ""agent_1"": 0.333, ""agent_2"": 0.333}",0.35668206665246044
2026-06-02,-0.04152093594314434,-0.043575380387588784,0.9555555555555555,0.0020544444444444442,5,0.5222222222222221,"{""agent_0"": 0.333, ""agent_1"": 0.333, ""agent_2"": 0.333}",-0.16412171942990253
2026-06-04,-0.04503184507773117,-0.04611618357981789,0.5043434893426619,0.0010843385020867231,4,0.6666666666666666,"{""agent_0"": 0.333, ""agent_1"": 0.333, ""agent_2"": 0.333}",-0.28247601790489946
2026-06-05,-0.11626779367046489,-0.11815256491169787,0.876637786619995,0.0018847712412329895,5,0.5777777777777777,"{""agent_0"": 0.333, ""agent_1"": 0.333, ""agent_2"": 0.333}",-0.19769985826942332
2026-06-08,0.0716204594259434,0.07025116157640343,0.636882720716263,0.001369297849539965,4,0.7777777777777778,"{""agent_0"": 0.333, ""agent_1"": 0.333, ""agent_2"": 0.333}",0.21870638296796277
2026-06-09,0.02210842712407907,0.021131649323958824,0.45431525586988175,0.0009767778001202457,3,0.7777777777777777,"{""agent_0"": 0.333, ""agent_1"": 0.333, ""agent_2"": 0.333}",0.32513690693333513
2026-06-10,-0.03221615995640233,-0.032696306698737077,0.22332406620220974,0.00048014674233475105,3,0.6666666666666666,"{""agent_0"": 0.333, ""agent_1"": 0.333, ""agent_2"": 0.333}",-0.07817796994703452
2026-06-11,0.1287210876719077,0.12829322153095798,0.1990075074184799,0.0004278661409497317,3,0.6111111111111112,"{""agent_0"": 0.333, ""agent_1"": 0.333, ""agent_2"": 0.333}",0.3438976273626382
2026-06-12,0.03413856532521441,0.03246082508688696,0.7803442968964849,0.0016777402383274422,3,0.7777777777777777,"{""agent_0"": 0.333, ""agent_1"": 0.333, ""agent_2"": 0.333}",0.04229300013528097
2026-06-15,0.023694952578547847,0.022261619245214512,0.6666666666666667,0.0014333333333333338,3,0.6666666666666666,"{""agent_0"": 0.333, ""agent_1"": 0.333, ""agent_2"": 0.333}",0.07732356590389754
2026-06-16,-0.009898199693858398,-0.012287088582747286,1.1111111111111112,0.002388888888888889,5,0.4444444444444444,"{""agent_0"": 0.333, ""agent_1"": 0.333, ""agent_2"": 0.333}",-0.0071961159679743755
2026-06-17,0.01823282090947488,0.01728782233183935,0.439534222156062,0.0009449985776355335,5,0.3333333333333333,"{""agent_0"": 0.333, ""agent_1"": 0.333, ""agent_2"": 0.333}",0.31899231897544733
2026-06-18,0.013462342757188212,0.01129827178924558,1.0065446362523869,0.0021640709679426316,6,0.4,"{""agent_0"": 0.333, ""agent_1"": 0.333, ""agent_2"": 0.333}",-0.021016518571046246
2026-06-19,-0.04930796096106441,-0.05111505129746464,0.8405071332094056,0.0018070903364002223,3,0.6666666666666666,"{""agent_0"": 0.333, ""agent_1"": 0.333, ""agent_2"": 0.333}",-0.4019971022959535
2026-06-22,0.01954914852891059,0.017831866962076972,0.798735612480753,0.001717281566833619,3,0.7222222222222222,"{""agent_0"": 0.333, ""agent_1"": 0.333, ""agent_2"": 0.333}",0.3703841526998849
2026-06-23,-0.09634135330884923,-0.0974856937608618,0.5322513730291036,0.001144340452012573,4,0.7222222222222221,"{""agent_0"": 0.333, ""agent_1"": 0.333, ""agent_2"": 0.333}",-0.32109560184453056
2026-06-24,0.0856460510555127,0.08433205644782793,0.6111602826440805,0.0013139946076847731,5,0.611111111111111,"{""agent_0"": 0.333, ""agent_1"": 0.333, ""agent_2"": 0.333}",0.21140522106106444
2026-06-25,-0.018298950307467716,-0.0188056662868859,0.2356818508921779,0.0005067159794181823,5,0.7222222222222222,"{""agent_0"": 0.333, ""agent_1"": 0.333, ""agent_2"": 0.333}",0.04249783928399222
2026-06-26,-0.07140017317842273,-0.07248367633273689,0.5039549554949576,0.0010835031543141589,3,0.6666666666666666,"{""agent_0"": 0.333, ""agent_1"": 0.333, ""agent_2"": 0.333}",-0.4823110823508305
2026-06-29,-0.00022208887805303442,-0.001651191553235564,0.6646989186895486,0.0014291026751825295,4,0.7222222222222221,"{""agent_0"": 0.333, ""agent_1"": 0.333, ""agent_2"": 0.333}",-0.3914881898221709
2026-06-30,0.003928108546721862,0.001539219657832973,1.1111111111111112,0.0023888888888888887,5,0.4444444444444444,"{""agent_0"": 0.333, ""agent_1"": 0.333, ""agent_2"": 0.333}",0.31213963757962676
